"filename", "language", "Properties", "JavaScript", "JSON", "Groovy", "Batch", "C++", "XML", "Objective-C", "Java", "comment", "blank", "total"
"c:\Workspace\weatherapp\src\reducers\rootReducer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Workspace\weatherapp\src\reducers\weather.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
"c:\Workspace\weatherapp\src\screens\Home\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Workspace\weatherapp\src\screens\Home\styles.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Workspace\weatherapp\src\screens\Login\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Workspace\weatherapp\src\screens\Login\styles.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Workspace\weatherapp\src\screens\Profile\index.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Workspace\weatherapp\src\screens\Profile\styles.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Workspace\weatherapp\src\store\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"Total", "-", 9, 427, 12252, 119, 78, 5, 95, 106, 126, 183, 246, 13646
